"","nomem_encr","Extraversion","Agreeableness","Conscientiousness","Emotional_stab","Openness","Self_esteem"
"435",807083,2.9,3.5,3.4,3.7,3.5,5.77
"436",807098,3.4,4,3.5,3.6,3.3,6.31
"437",807125,2.5,3.3,3,2.9,2.7,4.31
"438",807135,3.7,4.3,4.4,2.9,3.4,5.46
"439",807138,4.2,3.5,4.5,3.9,3.9,6.38
"440",807150,3.1,3.8,4.3,4.3,3.7,6.23
"441",807165,2.8,3.2,3.3,3.1,3,4.77
"442",807168,4.2,4.7,5,2.1,3.9,5.69
"443",807171,3.3,3.7,3.9,2.6,3.4,4.54
"444",807186,2.6,3.5,3.7,3.5,2.9,5
"445",807208,2.3,3.5,3.1,2.8,3.2,4.38
"446",807211,2.7,3.6,3.8,3.7,2.9,4.69
"447",807214,3.6,3.8,3.4,3,3.9,5.08
"448",807220,2.5,4,4.3,2.6,2.4,4.54
"449",807223,2.8,3.5,4.1,3.5,3.4,4.69
"450",807244,1.2,4.2,3.5,4.5,3.9,5.23
"451",807247,3.8,4.2,4.4,2.8,3,6.23
"452",807254,3.4,3.6,3.9,3.6,3.6,6.23
"453",807257,2.5,3.9,4,2.4,3.4,3.54
"454",807293,3.5,4.3,3.2,3.2,3.6,5.54
"455",807296,NA,NA,NA,NA,NA,NA
"456",807299,4.2,4.3,4.1,4.7,4.1,6.38
"457",807312,2.8,4,3.4,2.9,3.5,4.85
"458",807318,3.7,4.6,3.5,4.6,3.9,6.38
"459",807342,4.1,4.3,3,4.1,4,6.46
"460",807345,1.9,3.6,3.6,3.4,2.7,4.69
"461",807348,3.5,4.6,3.3,3.2,2.6,4.31
"462",807360,2.9,3.4,3.6,3.9,3.6,6.15
"463",807382,3.8,4.6,4.8,2.8,3.7,6.08
"464",807391,3.9,4.3,3.8,2.9,3.9,6.31
"465",807400,2.5,3.8,3.2,2.2,3.6,3.46
"466",807403,3.1,4.6,4.2,4.8,3.8,6.77
"467",807409,3.8,3.3,4.1,3.5,3.7,5.62
"468",807418,2.2,3.5,3.8,3.4,3.7,5.08
"469",807427,2.7,4.2,4.1,4.8,4.1,7
"470",807479,2.5,3.3,3,3.5,2.7,4.46
"471",807482,3.2,4.2,3.8,4,3.2,6.38
"472",807522,3.2,3.9,4.1,3.1,2.8,5.15
"473",807546,3.7,4.1,4.1,2.9,3.5,6.54
"474",807559,3.3,3.8,4.1,3.7,3.5,5
"475",807565,3.3,3.5,3.4,3.4,3.7,6.23
"476",807568,3,3.5,4,3.1,3.2,5.69
"477",807580,2.3,3.3,3.9,3,2.2,4.38
"478",807598,3,4.5,3.6,4,3.3,4.62
